"drug_name","avg_unit_cost"
"Acetaminophen/Hydrocodone","$176,274.81"
"10 ML oxaliplatin 5 MG/ML Injection","$164,337.95"
"Sertraline 100 MG Oral Tablet","$154,317.31"
"Tacrine 10 MG Oral Capsule","$142,050.73"
"24hr nicotine transdermal patch","$112,472.59"
"Vitamin B 12 5 MG/ML Injectable Solution","$96,283.22"
"ferrous sulfate 325 MG Oral Tablet","$80,297.05"
"Acetaminophen 325 MG / oxyCODONE Hydrochloride 5 MG Oral Tablet","$66,596.19"
"NDA020800 0.3 ML Epinephrine 1 MG/ML Auto-Injector","$66,446.36"
"FLUoxetine 20 MG Oral Capsule","$46,868.28"
